GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004
Id,Id2,Geography,Total population in occupied housing units:,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
1500000US040130610451,040130610451,"Block Group 1, Census Tract 610.45, Maricopa County, Arizona",1611,1343,171,97
1500000US040130610452,040130610452,"Block Group 2, Census Tract 610.45, Maricopa County, Arizona",1811,1592,134,85
1500000US040130610453,040130610453,"Block Group 3, Census Tract 610.45, Maricopa County, Arizona",1501,956,205,340
1500000US040130610461,040130610461,"Block Group 1, Census Tract 610.46, Maricopa County, Arizona",1534,336,90,1108
1500000US040130610462,040130610462,"Block Group 2, Census Tract 610.46, Maricopa County, Arizona",3649,2299,248,1102
1500000US040130610471,040130610471,"Block Group 1, Census Tract 610.47, Maricopa County, Arizona",2543,1951,116,476
1500000US040130610472,040130610472,"Block Group 2, Census Tract 610.47, Maricopa County, Arizona",711,612,32,67
1500000US040130611001,040130611001,"Block Group 1, Census Tract 611, Maricopa County, Arizona",827,10,5,812
1500000US040130611002,040130611002,"Block Group 2, Census Tract 611, Maricopa County, Arizona",546,3,0,543
1500000US040130611003,040130611003,"Block Group 3, Census Tract 611, Maricopa County, Arizona",1405,0,3,1402
1500000US040130612001,040130612001,"Block Group 1, Census Tract 612, Maricopa County, Arizona",2054,230,516,1308
1500000US040130612002,040130612002,"Block Group 2, Census Tract 612, Maricopa County, Arizona",1045,520,104,421
1500000US040130612003,040130612003,"Block Group 3, Census Tract 612, Maricopa County, Arizona",1869,421,54,1394
1500000US040130612004,040130612004,"Block Group 4, Census Tract 612, Maricopa County, Arizona",1014,541,150,323
1500000US040130613001,040130613001,"Block Group 1, Census Tract 613, Maricopa County, Arizona",1930,856,157,917
1500000US040130614011,040130614011,"Block Group 1, Census Tract 614.01, Maricopa County, Arizona",956,252,244,460
1500000US040130614012,040130614012,"Block Group 2, Census Tract 614.01, Maricopa County, Arizona",1016,232,153,631
1500000US040130614021,040130614021,"Block Group 1, Census Tract 614.02, Maricopa County, Arizona",2061,712,434,915
1500000US040130614022,040130614022,"Block Group 2, Census Tract 614.02, Maricopa County, Arizona",1547,539,242,766
